id,crop,market,district,price,date,variety,grade
42,Wheat,Sambalpur Mandi,Sambalpur,2490,2026-04-01,Lok-1,A
43,Maize,Sambalpur Mandi,Sambalpur,2310,2026-04-01,Hybrid,A
44,Mustard,Sambalpur Mandi,Sambalpur,6280,2026-04-01,Varuna,A
45,Tomato,Sambalpur Mandi,Sambalpur,1370,2026-04-01,Local,B
46,Potato,Sambalpur Mandi,Sambalpur,1690,2026-04-01,Kufri,A
47,Onion,Sambalpur Mandi,Sambalpur,2010,2026-04-01,Nasik,A
48,Groundnut,Sambalpur Mandi,Sambalpur,6080,2026-04-01,TAG-24,A
49,Paddy,Bhubaneswar Mandi,Khordha,2115,2026-05-01,Swarna,A
50,Wheat,Bhubaneswar Mandi,Khordha,2485,2026-05-01,Lok-1,A
51,Maize,Bhubaneswar Mandi,Khordha,2305,2026-05-01,Hybrid,A
52,Mustard,Bhubaneswar Mandi,Khordha,6275,2026-05-01,Varuna,A
53,Tomato,Bhubaneswar Mandi,Khordha,1545,2026-05-01,Local,B
54,Potato,Bhubaneswar Mandi,Khordha,1685,2026-05-01,Kufri,A
55,Onion,Bhubaneswar Mandi,Khordha,2005,2026-05-01,Nasik,A
56,Groundnut,Bhubaneswar Mandi,Khordha,6075,2026-05-01,TAG-24,A
57,Paddy,Cuttack Mandi,Cuttack,2095,2026-05-01,Swarna,A
58,Wheat,Cuttack Mandi,Cuttack,2465,2026-05-01,Lok-1,A
59,Maize,Cuttack Mandi,Cuttack,2285,2026-05-01,Hybrid,A
60,Mustard,Cuttack Mandi,Cuttack,6255,2026-05-01,Varuna,A
61,Tomato,Cuttack Mandi,Cuttack,1525,2026-05-01,Local,B
62,Potato,Cuttack Mandi,Cuttack,1845,2026-05-01,Kufri,A
63,Onion,Cuttack Mandi,Cuttack,1985,2026-05-01,Nasik,A
64,Groundnut,Cuttack Mandi,Cuttack,6055,2026-05-01,TAG-24,A
65,Paddy,Puri Mandi,Puri,2075,2026-05-01,Swarna,A
66,Wheat,Puri Mandi,Puri,2445,2026-05-01,Lok-1,A
67,Maize,Puri Mandi,Puri,2265,2026-05-01,Hybrid,A
68,Mustard,Puri Mandi,Puri,6235,2026-05-01,Varuna,A
69,Tomato,Puri Mandi,Puri,1505,2026-05-01,Local,B
70,Potato,Puri Mandi,Puri,1825,2026-05-01,Kufri,A
71,Onion,Puri Mandi,Puri,2145,2026-05-01,Nasik,A
72,Groundnut,Puri Mandi,Puri,6035,2026-05-01,TAG-24,A
73,Paddy,Berhampur Mandi,Ganjam,2055,2026-05-01,Swarna,A
74,Wheat,Berhampur Mandi,Ganjam,2425,2026-05-01,Lok-1,A
75,Maize,Berhampur Mandi,Ganjam,2245,2026-05-01,Hybrid,A
76,Mustard,Berhampur Mandi,Ganjam,6215,2026-05-01,Varuna,A
77,Tomato,Berhampur Mandi,Ganjam,1485,2026-05-01,Local,B
78,Potato,Berhampur Mandi,Ganjam,1805,2026-05-01,Kufri,A
79,Onion,Berhampur Mandi,Ganjam,2125,2026-05-01,Nasik,A
80,Groundnut,Berhampur Mandi,Ganjam,6195,2026-05-01,TAG-24,A
81,Paddy,Balasore Mandi,Balasore,2035,2026-05-01,Swarna,A
82,Wheat,Balasore Mandi,Balasore,2405,2026-05-01,Lok-1,A
83,Maize,Balasore Mandi,Balasore,2225,2026-05-01,Hybrid,A
84,Mustard,Balasore Mandi,Balasore,6195,2026-05-01,Varuna,A
85,Tomato,Balasore Mandi,Balasore,1465,2026-05-01,Local,B
86,Potato,Balasore Mandi,Balasore,1785,2026-05-01,Kufri,A
87,Onion,Balasore Mandi,Balasore,2105,2026-05-01,Nasik,A
88,Groundnut,Balasore Mandi,Balasore,6175,2026-05-01,TAG-24,A
89,Paddy,Sambalpur Mandi,Sambalpur,2195,2026-05-01,Swarna,A
90,Wheat,Sambalpur Mandi,Sambalpur,2385,2026-05-01,Lok-1,A
91,Maize,Sambalpur Mandi,Sambalpur,2205,2026-05-01,Hybrid,A
92,Mustard,Sambalpur Mandi,Sambalpur,6175,2026-05-01,Varuna,A
93,Tomato,Sambalpur Mandi,Sambalpur,1445,2026-05-01,Local,B
94,Potato,Sambalpur Mandi,Sambalpur,1765,2026-05-01,Kufri,A
95,Onion,Sambalpur Mandi,Sambalpur,2085,2026-05-01,Nasik,A
96,Groundnut,Sambalpur Mandi,Sambalpur,6155,2026-05-01,TAG-24,A
97,Paddy,Bhubaneswar Mandi,Khordha,2190,2026-06-01,Swarna,A
98,Wheat,Bhubaneswar Mandi,Khordha,2560,2026-06-01,Lok-1,A
99,Maize,Bhubaneswar Mandi,Khordha,2200,2026-06-01,Hybrid,A
100,Mustard,Bhubaneswar Mandi,Khordha,6170,2026-06-01,Varuna,A
101,Tomato,Bhubaneswar Mandi,Khordha,1440,2026-06-01,Local,B
102,Potato,Bhubaneswar Mandi,Khordha,1760,2026-06-01,Kufri,A
103,Onion,Bhubaneswar Mandi,Khordha,2080,2026-06-01,Nasik,A
104,Groundnut,Bhubaneswar Mandi,Khordha,6150,2026-06-01,TAG-24,A
105,Paddy,Cuttack Mandi,Cuttack,2170,2026-06-01,Swarna,A
106,Wheat,Cuttack Mandi,Cuttack,2540,2026-06-01,Lok-1,A
107,Maize,Cuttack Mandi,Cuttack,2360,2026-06-01,Hybrid,A
108,Mustard,Cuttack Mandi,Cuttack,6150,2026-06-01,Varuna,A
109,Tomato,Cuttack Mandi,Cuttack,1420,2026-06-01,Local,B
110,Potato,Cuttack Mandi,Cuttack,1740,2026-06-01,Kufri,A
111,Onion,Cuttack Mandi,Cuttack,2060,2026-06-01,Nasik,A
112,Groundnut,Cuttack Mandi,Cuttack,6130,2026-06-01,TAG-24,A
113,Paddy,Puri Mandi,Puri,2150,2026-06-01,Swarna,A
114,Wheat,Puri Mandi,Puri,2520,2026-06-01,Lok-1,A
115,Maize,Puri Mandi,Puri,2340,2026-06-01,Hybrid,A
116,Mustard,Puri Mandi,Puri,6310,2026-06-01,Varuna,A
117,Tomato,Puri Mandi,Puri,1400,2026-06-01,Local,B
118,Potato,Puri Mandi,Puri,1720,2026-06-01,Kufri,A
119,Onion,Puri Mandi,Puri,2040,2026-06-01,Nasik,A
120,Groundnut,Puri Mandi,Puri,6110,2026-06-01,TAG-24,A
121,Paddy,Berhampur Mandi,Ganjam,2130,2026-06-01,Swarna,A
122,Wheat,Berhampur Mandi,Ganjam,2500,2026-06-01,Lok-1,A
123,Maize,Berhampur Mandi,Ganjam,2320,2026-06-01,Hybrid,A
124,Mustard,Berhampur Mandi,Ganjam,6290,2026-06-01,Varuna,A
125,Tomato,Berhampur Mandi,Ganjam,1560,2026-06-01,Local,B
126,Potato,Berhampur Mandi,Ganjam,1700,2026-06-01,Kufri,A
127,Onion,Berhampur Mandi,Ganjam,2020,2026-06-01,Nasik,A
128,Groundnut,Berhampur Mandi,Ganjam,6090,2026-06-01,TAG-24,A
129,Paddy,Balasore Mandi,Balasore,2110,2026-06-01,Swarna,A
130,Wheat,Balasore Mandi,Balasore,2480,2026-06-01,Lok-1,A
131,Maize,Balasore Mandi,Balasore,2300,2026-06-01,Hybrid,A
132,Mustard,Balasore Mandi,Balasore,6270,2026-06-01,Varuna,A
133,Tomato,Balasore Mandi,Balasore,1540,2026-06-01,Local,B
134,Potato,Balasore Mandi,Balasore,1860,2026-06-01,Kufri,A
135,Onion,Balasore Mandi,Balasore,2000,2026-06-01,Nasik,A
136,Groundnut,Balasore Mandi,Balasore,6070,2026-06-01,TAG-24,A
137,Paddy,Sambalpur Mandi,Sambalpur,2090,2026-06-01,Swarna,A
138,Wheat,Sambalpur Mandi,Sambalpur,2460,2026-06-01,Lok-1,A
139,Maize,Sambalpur Mandi,Sambalpur,2280,2026-06-01,Hybrid,A
140,Mustard,Sambalpur Mandi,Sambalpur,6250,2026-06-01,Varuna,A
141,Tomato,Sambalpur Mandi,Sambalpur,1520,2026-06-01,Local,B
142,Potato,Sambalpur Mandi,Sambalpur,1840,2026-06-01,Kufri,A
143,Onion,Sambalpur Mandi,Sambalpur,2160,2026-06-01,Nasik,A
144,Groundnut,Sambalpur Mandi,Sambalpur,6050,2026-06-01,TAG-24,A
